id,condition,area,popping_frame,is_bad_pop,max_focis,area_focis,first_focis_frame,last_max_focis_frame,first_max_focis_frame,max_focis_duration_frame,max_focis_duration_min,diff_last_max_focis_first_focis_frame,diff_first_max_focis_first_focis_frame,diff_popping_time_first_max_focis_frame,diff_popping_time_last_max_focis_frame,diff_last_max_focis_first_focis_min,diff_first_max_focis_first_focis_min,diff_popping_time_last_max_focis_min,diff_popping_time_first_max_focis_min,bin_prey_area
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-11,Averell,7.390407650043671,78,FALSE,10,0.7390407650043671,13,71,71,0,0,58,58,7,7,464,464,56,56,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-12,Averell,7.706087237861443,77,FALSE,11,0.7005533852601311,10,66,66,0,0,56,56,11,11,448,448,88,88,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-16,Averell,7.929931362973159,80,FALSE,15,0.5286620908648773,16,74,74,0,0,58,58,6,6,464,464,48,48,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-19,Averell,7.6594537952197435,76,FALSE,13,0.5891887534784418,13,60,60,0,0,47,47,16,16,376,376,128,128,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-2,Averell,8.415321490157122,NA,TRUE,10,0.8415321490157123,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-20,Averell,7.877052108796734,64,FALSE,12,0.6564210090663946,13,52,50,2,16,39,37,14,12,312,296,96,112,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-22,Averell,7.463056425006354,70,FALSE,10,0.7463056425006354,20,55,55,0,0,35,35,15,15,280,280,120,120,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-24,Averell,6.545292582821383,55,FALSE,12,0.5454410485684485,13,50,50,0,0,37,37,5,5,296,296,40,40,"[5.117, 6.989)"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-30,Averell,5.784093794849348,62,FALSE,9,0.6426770883165942,12,55,55,0,0,43,43,7,7,344,344,56,56,"[5.117, 6.989)"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-33,Averell,9.24454801096923,NA,TRUE,16,0.5777842506855769,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-4,Averell,7.575243200888257,66,FALSE,10,0.7575243200888256,14,65,65,0,0,51,51,1,1,408,408,8,8,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-40,Averell,9.765872318301103,79,FALSE,14,0.6975623084500787,22,70,66,4,32,48,44,13,9,384,352,72,104,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-44,Averell,8.870572700515918,NA,TRUE,15,0.5913715133677279,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-48,Averell,10.236402609450792,78,FALSE,18,0.5686890338583773,13,69,69,0,0,56,56,9,9,448,448,72,72,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-5,Averell,7.8418607262947795,NA,TRUE,10,0.7841860726294779,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-52,Averell,7.725797414178885,NA,TRUE,8,0.9657246767723606,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-6,Averell,8.066612387252238,85,FALSE,11,0.7333283988411126,16,82,81,1,8,66,65,4,3,528,520,24,32,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-7,Averell,7.254989358489889,71,FALSE,8,0.9068736698112361,22,64,60,4,32,42,38,11,7,336,304,56,88,"[6.989, 13.8]"
Averell-001-217ea616-e7da-4eee-b7d8-a0adae9674a8-9,Averell,7.620890254030407,69,FALSE,13,0.5862223272331082,14,67,67,0,0,53,53,2,2,424,424,16,16,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-10,Averell,8.226190832134144,81,FALSE,9,0.9140212035704605,31,74,74,0,0,43,43,7,7,344,344,56,56,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-16,Averell,7.204822142786906,74,FALSE,10,0.7204822142786906,12,66,63,3,24,54,51,11,8,432,408,64,88,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-17,Averell,7.36262255447252,89,FALSE,12,0.6135518795393767,18,77,77,0,0,59,59,12,12,472,472,96,96,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-2,Averell,8.0624886042496815,NA,TRUE,10,0.8062488604249681,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-20,Averell,7.707457444727137,68,FALSE,12,0.642288120393928,8,66,65,1,8,58,57,3,2,464,456,16,24,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-21,Averell,5.297432819299212,69,FALSE,8,0.6621791024124015,14,52,52,0,0,38,38,17,17,304,304,136,136,"[5.117, 6.989)"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-23,Averell,8.449336419921574,76,FALSE,10,0.8449336419921574,27,71,70,1,8,44,43,6,5,352,344,40,48,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-25,Averell,5.998709621774036,NA,TRUE,11,0.5453372383430941,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[5.117, 6.989)"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-26,Averell,7.351231304601647,63,FALSE,11,0.6682937549637861,19,62,57,5,40,43,38,6,1,344,304,8,48,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-27,Averell,9.127852573429712,75,FALSE,16,0.570490785839357,17,65,63,2,16,48,46,12,10,384,368,80,96,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-29,Averell,8.549111977854473,74,FALSE,10,0.8549111977854473,12,71,53,18,144,59,41,21,3,472,328,24,168,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-31,Averell,10.589694758605258,67,FALSE,16,0.6618559224128286,19,58,58,0,0,39,39,9,9,312,312,72,72,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-32,Averell,9.915042823427092,75,FALSE,15,0.6610028548951394,16,70,63,7,56,54,47,12,5,432,376,40,96,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-35,Averell,6.615182620017648,85,FALSE,10,0.6615182620017648,20,76,73,3,24,56,53,12,9,448,424,72,96,"[5.117, 6.989)"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-37,Averell,7.566704695430752,77,FALSE,12,0.6305587246192293,13,70,70,0,0,57,57,7,7,456,456,56,56,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-39,Averell,8.607837585557872,62,FALSE,13,0.6621413527352209,9,62,62,0,0,53,53,0,0,424,424,0,0,"[6.989, 13.8]"
Averell-001-ffdae151-8b77-4c99-be03-2bde7cb79be5-5,Averell,8.504112403178423,81,FALSE,11,0.7731011275616748,18,77,67,10,80,59,49,14,4,472,392,32,112,"[6.989, 13.8]"
Averell-003-6375368b-6c0a-4636-8175-b0be700eb53f-1,Averell,9.790335450760914,44,FALSE,11,0.8900304955237194,6,41,41,0,0,35,35,3,3,280,280,24,24,"[6.989, 13.8]"
Averell-003-6375368b-6c0a-4636-8175-b0be700eb53f-11,Averell,7.258082101499271,57,FALSE,9,0.8064535668332523,22,50,42,8,64,28,20,15,7,224,160,56,120,"[6.989, 13.8]"
Averell-003-6375368b-6c0a-4636-8175-b0be700eb53f-12,Averell,10.049786886802961,58,FALSE,11,0.9136169897093601,8,55,54,1,8,47,46,4,3,376,368,24,32,"[6.989, 13.8]"
Averell-003-6375368b-6c0a-4636-8175-b0be700eb53f-13,Averell,11.373267603229674,61,FALSE,12,0.9477723002691395,4,58,58,0,0,54,54,3,3,432,432,24,24,"[6.989, 13.8]"
Averell-003-6375368b-6c0a-4636-8175-b0be700eb53f-15,Averell,6.557275039813964,53,FALSE,10,0.6557275039813965,6,45,43,2,16,39,37,10,8,312,296,64,80,"[5.117, 6.989)"
Averell-003-6375368b-6c0a-4636-8175-b0be700eb53f-16,Averell,7.7101645386090905,54,FALSE,10,0.771016453860909,5,51,47,4,32,46,42,7,3,368,336,24,56,"[6.989, 13.8]"
Averell-003-6375368b-6c0a-4636-8175-b0be700eb53f-21,Averell,7.766504490518063,51,FALSE,10,0.7766504490518062,5,45,45,0,0,40,40,6,6,320,320,48,48,"[6.989, 13.8]"
Averell-003-6375368b-6c0a-4636-8175-b0be700eb53f-24,Averell,7.429245070523699,41,FALSE,10,0.7429245070523699,7,37,37,0,0,30,30,4,4,240,240,32,32,"[6.989, 13.8]"
Averell-003-6375368b-6c0a-4636-8175-b0be700eb53f-26,Averell,8.533849808062703,51,FALSE,10,0.8533849808062703,4,51,51,0,0,47,47,0,0,376,376,0,0,"[6.989, 13.8]"
Averell-003-6375368b-6c0a-4636-8175-b0be700eb53f-27,Averell,11.469854120142951,57,FALSE,14,0.819275294295925,5,50,50,0,0,45,45,7,7,360,360,56,56,"[6.989, 13.8]"
Averell-003-6375368b-6c0a-4636-8175-b0be700eb53f-28,Averell,7.299385577396762,49,FALSE,9,0.8110428419329736,5,44,41,3,24,39,36,8,5,312,288,40,64,"[6.989, 13.8]"
Averell-003-6375368b-6c0a-4636-8175-b0be700eb53f-6,Averell,9.523081769169194,50,FALSE,13,0.7325447514745533,5,49,49,0,0,44,44,1,1,352,352,8,8,"[6.989, 13.8]"
Averell-003-6375368b-6c0a-4636-8175-b0be700eb53f-9,Averell,5.503583492239105,46,FALSE,7,0.786226213177015,10,42,41,1,8,32,31,5,4,256,248,32,40,"[5.117, 6.989)"
Averell-003-6aecb817-21d3-48f0-b7b8-4c1986ced1a3-11,Averell,9.305460226609984,53,FALSE,10,0.9305460226609984,11,50,48,2,16,39,37,5,3,312,296,24,40,"[6.989, 13.8]"
Averell-003-6aecb817-21d3-48f0-b7b8-4c1986ced1a3-13,Averell,6.664783661229599,46,FALSE,8,0.8330979576536999,13,40,38,2,16,27,25,8,6,216,200,48,64,"[5.117, 6.989)"
Averell-003-6aecb817-21d3-48f0-b7b8-4c1986ced1a3-16,Averell,6.964076527507117,52,FALSE,9,0.773786280834124,7,48,47,1,8,41,40,5,4,328,320,32,40,"[5.117, 6.989)"
Averell-003-6aecb817-21d3-48f0-b7b8-4c1986ced1a3-19,Averell,6.689350963916656,56,FALSE,8,0.836168870489582,12,55,45,10,80,43,33,11,1,344,264,8,88,"[5.117, 6.989)"
Averell-003-6aecb817-21d3-48f0-b7b8-4c1986ced1a3-21,Averell,6.974495031373606,51,FALSE,7,0.9963564330533723,10,44,44,0,0,34,34,7,7,272,272,56,56,"[5.117, 6.989)"
Averell-003-6aecb817-21d3-48f0-b7b8-4c1986ced1a3-22,Averell,8.61834192031288,56,FALSE,11,0.7834856291193527,6,50,41,9,72,44,35,15,6,352,280,48,120,"[6.989, 13.8]"
Averell-003-6aecb817-21d3-48f0-b7b8-4c1986ced1a3-24,Averell,10.837380617141172,60,FALSE,13,0.8336446628570132,6,58,58,0,0,52,52,2,2,416,416,16,16,"[6.989, 13.8]"
Averell-003-6aecb817-21d3-48f0-b7b8-4c1986ced1a3-25,Averell,6.456787465072544,52,FALSE,12,0.5380656220893787,5,49,49,0,0,44,44,3,3,352,352,24,24,"[5.117, 6.989)"
Averell-003-6aecb817-21d3-48f0-b7b8-4c1986ced1a3-28,Averell,10.324557803713041,38,FALSE,8,1.2905697254641302,11,35,35,0,0,24,24,3,3,192,192,24,24,"[6.989, 13.8]"
Averell-003-6aecb817-21d3-48f0-b7b8-4c1986ced1a3-7,Averell,9.082633180558323,53,FALSE,12,0.7568860983798603,9,47,47,0,0,38,38,6,6,304,304,48,48,"[6.989, 13.8]"
Averell-003-c41b3983-8d2a-4811-aafc-353f059b9285-1,Averell,6.472171070508227,46,FALSE,8,0.8090213838135284,10,44,44,0,0,34,34,2,2,272,272,16,16,"[5.117, 6.989)"
Averell-003-c41b3983-8d2a-4811-aafc-353f059b9285-11,Averell,7.059493386497179,56,FALSE,8,0.8824366733121474,9,52,51,1,8,43,42,5,4,344,336,32,40,"[6.989, 13.8]"
Averell-003-c41b3983-8d2a-4811-aafc-353f059b9285-14,Averell,9.448735115468805,49,FALSE,5,1.889747023093761,8,44,37,7,56,36,29,12,5,288,232,40,96,"[6.989, 13.8]"
Averell-003-c41b3983-8d2a-4811-aafc-353f059b9285-15,Averell,11.272014695049101,56,FALSE,16,0.7045009184405688,20,49,49,0,0,29,29,7,7,232,232,56,56,"[6.989, 13.8]"
Averell-003-c41b3983-8d2a-4811-aafc-353f059b9285-16,Averell,7.06971650301135,49,FALSE,12,0.5891430419176125,7,45,43,2,16,38,36,6,4,304,288,32,48,"[6.989, 13.8]"
Averell-003-c41b3983-8d2a-4811-aafc-353f059b9285-17,Averell,7.493228702335926,53,FALSE,9,0.832580966926214,7,49,49,0,0,42,42,4,4,336,336,32,32,"[6.989, 13.8]"
Averell-003-c41b3983-8d2a-4811-aafc-353f059b9285-2,Averell,7.838136709467331,57,FALSE,9,0.8709040788297034,21,51,50,1,8,30,29,7,6,240,232,48,56,"[6.989, 13.8]"
Averell-003-c41b3983-8d2a-4811-aafc-353f059b9285-6,Averell,10.514760591969816,61,FALSE,12,0.876230049330818,17,57,57,0,0,40,40,4,4,320,320,32,32,"[6.989, 13.8]"
Averell-003-c41b3983-8d2a-4811-aafc-353f059b9285-8,Averell,6.118805302568087,48,FALSE,10,0.6118805302568087,6,45,40,5,40,39,34,8,3,312,272,24,64,"[5.117, 6.989)"
Averell-003-c41b3983-8d2a-4811-aafc-353f059b9285-9,Averell,11.524819594741423,54,FALSE,16,0.720301224671339,6,51,49,2,16,45,43,5,3,360,344,24,40,"[6.989, 13.8]"
Joe-001-37ae7a14-eca2-4d59-9b55-fc6e93566954-11,Joe,6.245181346648517,77,FALSE,10,0.6245181346648516,13,73,73,0,0,60,60,4,4,480,480,32,32,"[5.117, 6.989)"
Joe-001-37ae7a14-eca2-4d59-9b55-fc6e93566954-12,Joe,5.227080676302956,72,FALSE,9,0.5807867418114395,18,66,60,6,48,48,42,12,6,384,336,48,96,"[5.117, 6.989)"
Joe-001-37ae7a14-eca2-4d59-9b55-fc6e93566954-2,Joe,7.202057413506282,87,FALSE,8,0.9002571766882852,13,77,73,4,32,64,60,14,10,512,480,80,112,"[6.989, 13.8]"
Joe-001-37ae7a14-eca2-4d59-9b55-fc6e93566954-3,Joe,6.018403946053626,63,FALSE,9,0.668711549561514,13,55,55,0,0,42,42,8,8,336,336,64,64,"[5.117, 6.989)"
Joe-001-37ae7a14-eca2-4d59-9b55-fc6e93566954-4,Joe,6.207560798319038,66,FALSE,7,0.8867943997598626,16,61,61,0,0,45,45,5,5,360,360,40,40,"[5.117, 6.989)"
Joe-001-37ae7a14-eca2-4d59-9b55-fc6e93566954-7,Joe,4.846180587215947,88,FALSE,8,0.6057725734019934,31,69,69,0,0,38,38,19,19,304,304,152,152,"[2.496, 5.117)"
Joe-001-52a659d9-1ad1-4b77-9c83-59d854aa28a9-1,Joe,7.501908932176553,71,FALSE,9,0.8335454369085059,21,67,56,11,88,46,35,15,4,368,280,32,120,"[6.989, 13.8]"
Joe-001-52a659d9-1ad1-4b77-9c83-59d854aa28a9-10,Joe,5.775190408366321,56,FALSE,12,0.48126586736386007,12,50,49,1,8,38,37,7,6,304,296,48,56,"[5.117, 6.989)"
Joe-001-52a659d9-1ad1-4b77-9c83-59d854aa28a9-2,Joe,7.524435172095629,70,FALSE,11,0.6840395610996026,17,67,67,0,0,50,50,3,3,400,400,24,24,"[6.989, 13.8]"
Joe-001-52a659d9-1ad1-4b77-9c83-59d854aa28a9-7,Joe,11.411842512967517,110,FALSE,12,0.9509868760806265,20,101,89,12,96,81,69,21,9,648,552,72,168,"[6.989, 13.8]"
Joe-001-52a659d9-1ad1-4b77-9c83-59d854aa28a9-8,Joe,7.571321588187625,83,FALSE,9,0.8412579542430695,17,72,59,13,104,55,42,24,11,440,336,88,192,"[6.989, 13.8]"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-16,Joe,4.751834595020912,47,FALSE,8,0.593979324377614,5,42,39,3,24,37,34,8,5,296,272,40,64,"[2.496, 5.117)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-17,Joe,3.618334549849452,50,FALSE,5,0.7236669099698905,11,49,32,17,136,38,21,18,1,304,168,8,144,"[2.496, 5.117)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-19,Joe,4.519501419017314,41,FALSE,8,0.5649376773771643,5,37,33,4,32,32,28,8,4,256,224,32,64,"[2.496, 5.117)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-2,Joe,3.8303218105678547,42,FALSE,7,0.5471888300811221,9,41,41,0,0,32,32,1,1,256,256,8,8,"[2.496, 5.117)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-22,Joe,5.654565348990837,57,FALSE,9,0.6282850387767597,13,46,46,0,0,33,33,11,11,264,264,88,88,"[5.117, 6.989)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-28,Joe,7.386347307608168,53,FALSE,10,0.7386347307608168,8,48,42,6,48,40,34,11,5,320,272,40,88,"[6.989, 13.8]"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-32,Joe,4.104447774014579,47,FALSE,8,0.5130559717518224,9,39,39,0,0,30,30,8,8,240,240,64,64,"[2.496, 5.117)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-33,Joe,6.725027989505001,43,FALSE,5,1.3450055979010003,9,42,33,9,72,33,24,10,1,264,192,8,80,"[5.117, 6.989)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-34,Joe,4.202232876725401,41,FALSE,7,0.600318982389343,6,33,33,0,0,27,27,8,8,216,216,64,64,"[2.496, 5.117)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-38,Joe,6.874083710972072,38,FALSE,7,0.982011958710296,7,32,32,0,0,25,25,6,6,200,200,48,48,"[5.117, 6.989)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-39,Joe,5.493855147133129,40,FALSE,7,0.784836449590447,5,38,38,0,0,33,33,2,2,264,264,16,16,"[5.117, 6.989)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-41,Joe,4.582861036274739,46,FALSE,7,0.6546944337535342,7,43,43,0,0,36,36,3,3,288,288,24,24,"[2.496, 5.117)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-42,Joe,4.519622827197386,34,FALSE,5,0.9039245654394772,8,33,33,0,0,25,25,1,1,200,200,8,8,"[2.496, 5.117)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-44,Joe,5.104157722947416,39,FALSE,9,0.5671286358830463,14,33,33,0,0,19,19,6,6,152,152,48,48,"[2.496, 5.117)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-47,Joe,6.01664635620209,51,FALSE,4,1.5041615890505224,8,49,30,19,152,41,22,21,2,328,176,16,168,"[5.117, 6.989)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-48,Joe,2.495722527341364,33,FALSE,6,0.41595375455689404,5,26,26,0,0,21,21,7,7,168,168,56,56,"[2.496, 5.117)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-49,Joe,2.7838194644042504,36,FALSE,6,0.46396991073404176,10,31,27,4,32,21,17,9,5,168,136,40,72,"[2.496, 5.117)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-51,Joe,5.695605679393035,41,FALSE,5,1.1391211358786069,9,36,36,0,0,27,27,5,5,216,216,40,40,"[5.117, 6.989)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-54,Joe,4.122068574062535,48,FALSE,7,0.5888669391517907,5,39,39,0,0,34,34,9,9,272,272,72,72,"[2.496, 5.117)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-55,Joe,6.103336656574903,NA,TRUE,5,1.2206673313149807,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[5.117, 6.989)"
Joe-003-28942d78-6f4f-4795-8294-0e7926922965-9,Joe,5.567620652441144,48,FALSE,8,0.695952581555143,9,42,42,0,0,33,33,6,6,264,264,48,48,"[5.117, 6.989)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-1,Joe,4.901417498172034,39,FALSE,4,1.2253543745430084,6,35,22,13,104,29,16,17,4,232,128,32,136,"[2.496, 5.117)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-10,Joe,5.69431097445758,47,FALSE,7,0.8134729963510828,11,44,41,3,24,33,30,6,3,264,240,24,48,"[5.117, 6.989)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-12,Joe,3.1609376693914224,36,FALSE,4,0.7902344173478556,15,32,23,9,72,17,8,13,4,136,64,32,104,"[2.496, 5.117)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-13,Joe,4.06664074670982,47,FALSE,7,0.5809486781014028,5,40,40,0,0,35,35,7,7,280,280,56,56,"[2.496, 5.117)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-14,Joe,3.3382097341581947,40,FALSE,5,0.6676419468316389,9,37,32,5,40,28,23,8,3,224,184,24,64,"[2.496, 5.117)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-16,Joe,6.105848887741063,39,FALSE,8,0.7632311109676329,5,39,39,0,0,34,34,0,0,272,272,0,0,"[5.117, 6.989)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-17,Joe,7.018198729083661,49,FALSE,10,0.7018198729083661,17,45,41,4,32,28,24,8,4,224,192,32,64,"[6.989, 13.8]"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-19,Joe,4.259416833568308,54,FALSE,7,0.6084881190811868,15,50,47,3,24,35,32,7,4,280,256,32,56,"[2.496, 5.117)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-2,Joe,5.570955434875435,45,FALSE,8,0.6963694293594294,17,44,44,0,0,27,27,1,1,216,216,8,8,"[5.117, 6.989)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-20,Joe,4.354931282619662,45,FALSE,5,0.8709862565239324,7,32,32,0,0,25,25,13,13,200,200,104,104,"[2.496, 5.117)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-21,Joe,3.253740110299036,47,FALSE,6,0.5422900183831727,8,41,41,0,0,33,33,6,6,264,264,48,48,"[2.496, 5.117)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-23,Joe,5.185105491107531,53,FALSE,8,0.6481381863884413,15,49,49,0,0,34,34,4,4,272,272,32,32,"[5.117, 6.989)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-24,Joe,4.044352556597631,45,FALSE,6,0.6740587594329385,9,42,42,0,0,33,33,3,3,264,264,24,24,"[2.496, 5.117)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-25,Joe,4.143234589134429,49,FALSE,7,0.5918906555906327,8,42,42,0,0,34,34,7,7,272,272,56,56,"[2.496, 5.117)"
Joe-003-487f9f3a-abea-4408-87e0-75df1200707f-26,Joe,6.305344578107945,39,FALSE,10,0.6305344578107945,7,35,35,0,0,28,28,4,4,224,224,32,32,"[5.117, 6.989)"
